CEC 2017 Results - CHCLPSO-ABS
Dimension: 10, Runs: 51

Func	Mean		Std		Best		Worst		Error
F1	5881.568037	4281.197837	166.957154	12740.827503	5781.568037
F3	300.000000	0.000000	300.000000	300.000000	0.000000
F4	403.530647	1.455388	402.362184	408.303365	3.530647
F5	509.110612	4.204571	501.012381	520.734698	9.110612
F6	600.000000	0.000000	600.000000	600.000001	0.000000
F7	718.258162	3.950183	711.967890	728.782059	18.258162
F8	808.108362	3.889066	801.000908	818.681705	8.108362
F9	900.000000	0.000000	900.000000	900.000000	0.000000
F10	1550.705776	249.138816	1023.329708	1923.462028	550.705776
F11	1102.984242	1.045915	1101.059385	1105.697932	2.984242
F12	24099.347489	22952.136126	2469.122072	138404.871544	22899.347489
F13	1773.675350	623.527252	1325.270018	4072.425420	473.675350
F14	1430.219634	18.000389	1402.519913	1515.146831	30.219634
F15	1525.249570	17.231318	1503.147494	1577.948806	25.249570
F16	1603.282067	5.221136	1600.976463	1638.712606	3.282067
F17	1719.346898	8.400371	1701.361707	1732.692227	19.346898
F18	3031.338491	2484.403454	1881.812439	18573.771299	1231.338491
F19	1912.076384	11.324953	1903.630847	1973.940354	12.076384
F20	2004.237837	7.539740	2000.000000	2021.307991	4.237837
F21	2210.280674	29.581178	2200.000000	2322.749915	110.280674
F22	2284.673556	34.216448	2200.217298	2301.997198	84.673556
F23	2612.419182	2.957356	2607.316564	2618.902554	312.419182
F24	2639.565111	107.176491	2500.010694	2752.926500	239.565111
F25	2910.494985	20.773973	2897.762447	2947.596665	410.494985
F26	2932.483335	35.787939	2900.000000	2997.888584	332.483335
F27	3090.192704	1.019293	3088.978013	3095.751692	390.192704
F28	3184.714260	49.144228	3100.006405	3383.745680	384.714260
F29	3147.218720	9.261334	3129.427388	3169.110027	247.218720
F30	9926.593898	12494.485892	3709.251517	86752.976701	6926.593898
